0,331.16618,3.38E-12,-0.0489239999999995
0.5,331.14008,3.23E-12,-0.0484999999999985
1,331.11616,3.25E-12,-0.0480520000000013
1.5,331.09169,3.81E-12,-0.0480520000000013
2,331.06613,5.05E-12,-0.0471680000000021
2.5,331.04387,5.05E-12,-0.0476159999999993
3,331.01883,5.41E-12,-0.046284
3.5,330.99603,4.39E-12,-0.0479399999999998
4,330.97156,4.94E-12,-0.0476159999999993
4.5,330.94821,4.81E-12,-0.0471800000000002
5,330.92483,4.99E-12,-0.0487160000000017
5.5,330.90312,6.53E-12,-0.0489360000000005
6,330.87618,5.56E-12,-0.0491520000000008
6.5,330.85252,4.89E-12,-0.0487079999999992
7,330.83026,5.49E-12,-0.0499239999999986
7.5,330.80304,5.4E-12,-0.0488199999999978
8,330.78078,5.13E-12,-0.0498080000000016
8.5,330.7533,5.7E-12,-0.0483839999999987
9,330.73075,5.71E-12,-0.0493719999999996
9.5,330.70545,5.64E-12,-0.0497039999999998
10,330.68099,5.67E-12,-0.049260000000001
10.5,330.65626,6.92E-12,-0.0490399999999994
11,330.63234,7.85E-12,-0.0498080000000016
11.5,330.60732,5.64E-12,-0.049588
12,330.58119,5.72E-12,-0.0491399999999999
12.5,330.55784,6.14E-12,-0.0499200000000002
13,330.53366,6.07E-12,-0.0500360000000001
13.5,330.50782,5.94E-12,-0.050139999999999
14,330.48335,5.88E-12,-0.0511360000000025
14.5,330.45834,5.93E-12,-0.0516880000000015
15,330.43304,6.42E-12,-0.0522279999999995
15.5,330.40857,6.81E-12,-0.0533279999999991
16,330.38247,5.82E-12,-0.0528959999999984
16.5,330.35551,6.48E-12,-0.0544239999999974
17,330.32912,6.51E-12,-0.054867999999999
17.5,330.30247,6.41E-12,-0.0553159999999991
18,330.27525,6.46E-12,-0.0550880000000007
18.5,330.25023,6.52E-12,-0.0552000000000021
19,330.21945,6.64E-12,-0.053776000000002
19.5,330.19195,7.2E-12,-0.0535480000000007
20,330.16418,7.11E-12,-0.0528840000000002
20.5,330.13753,8.83E-12,-0.0528919999999999
21,330.11223,8.74E-12,-0.0540959999999984
21.5,330.08501,7.28E-12,-0.0539839999999998
22,330.05808,6.67E-12,-0.0537679999999995
22.5,330.03197,6.71E-12,-0.0542120000000011
23,330.0053,8.27E-12,-0.0544319999999999
23.5,329.97699,8.16E-12,-0.0539960000000008
24,329.95005,7.35E-12,-0.0543279999999982
24.5,329.92366,7.28E-12,-0.0550960000000003
25,329.89644,7.28E-12,-0.0551999999999993
25.5,329.86922,6.63E-12,-0.0555319999999995
26,329.842,6.74E-12,-0.0562919999999991
26.5,329.81423,7.37E-12,-0.0572880000000026
27,329.78592,7.45E-12,-0.0570679999999982
27.5,329.75844,7.61E-12,-0.0575040000000001
28,329.73039,7.75E-12,-0.0578400000000016
28.5,329.70127,8.3E-12,-0.0575160000000011
29,329.67101,8.27E-12,-0.0572879999999998
29.5,329.64325,8.17E-12,-0.0578400000000016
30,329.61468,8.16E-12,-0.0577359999999999
30.5,329.58579,8.21E-12,-0.058159999999998
31,329.55748,9.38E-12,-0.0597080000000005
31.5,329.52779,8.47E-12,-0.0594799999999992
32,329.49865,8.58E-12,-0.0601439999999997
32.5,329.47034,8.7E-12,-0.0600320000000011
33,329.44039,8.76E-12,-0.0605919999999998
33.5,329.40821,8.86E-12,-0.0600319999999982
34,329.37909,9.02E-12,-0.0596039999999988
34.5,329.34829,9.16E-12,-0.0600320000000011
35,329.32026,9.24E-12,-0.0614640000000009
35.5,329.28891,9.37E-12,-0.0610280000000017
36,329.25813,9.43E-12,-0.0608120000000014
36.5,329.23008,9.55E-12,-0.0622360000000015
37,329.19821,9.61E-12,-0.0608119999999985
37.5,329.1666,9.73E-12,-0.0603759999999994
38,329.13634,9.86E-12,-0.0602519999999998
38.5,329.1061,9.91E-12,-0.0606959999999987
39,329.07449,1.005E-11,-0.0599240000000009
39.5,329.04618,1.012E-11,-0.0612480000000005
40,329.01566,1.027E-11,-0.0616839999999996
40.5,328.98571,1.035E-11,-0.0624599999999987
41,328.95436,1.049E-11,-0.0625640000000004
41.5,328.92468,1.055E-11,-0.0631199999999978
42,328.89306,1.076E-11,-0.0633319999999998
42.5,328.86145,1.085E-11,-0.0633319999999998
43,328.82956,1.1E-11,-0.0629000000000019
43.5,328.79795,1.117E-11,-0.0620159999999998
44,328.76688,1.127E-11,-0.0626800000000003
44.5,328.73473,1.143E-11,-0.0622440000000012
45,328.70312,1.152E-11,-0.0630159999999989
45.5,328.67231,1.169E-11,-0.0633359999999982
46,328.64291,1.179E-11,-0.0646559999999994
46.5,328.61018,1.197E-11,-0.0643200000000007
47,328.57912,1.211E-11,-0.0647599999999983
47.5,328.54558,1.276E-11,-0.0647559999999999
48,328.51397,1.269E-11,-0.0641040000000004
48.5,328.48127,1.27E-11,-0.0635640000000024
49,328.44938,1.281E-11,-0.0639999999999986
49.5,328.41722,1.29E-11,-0.0641040000000004
50,328.38369,1.355E-11,-0.0640000000000015
50.5,328.35371,1.358E-11,-0.0654200000000003
51,328.32236,1.363E-11,-0.0662959999999998
51.5,328.28938,1.371E-11,-0.0657560000000018
52,328.25696,1.389E-11,-0.0658680000000004
52.5,328.22369,1.397E-11,-0.0655399999999986
53,328.19016,1.417E-11,-0.0647719999999992
53.5,328.15662,1.441E-11,-0.0641120000000001
54,328.12499,1.455E-11,-0.0648719999999997
54.5,328.09229,1.482E-11,-0.0659760000000006
55,328.05984,1.496E-11,-0.0656400000000019
55.5,328.02823,1.572E-11,-0.0663039999999995
56,327.99634,1.628E-11,-0.067179999999999
56.5,327.96281,1.629E-11,-0.0654239999999987
57,327.92735,1.637E-11,-0.065755999999999
57.5,327.89574,1.698E-11,-0.0659719999999993
58,327.86247,1.701E-11,-0.0663080000000008
58.5,327.82839,1.707E-11,-0.0665240000000011
59,327.79925,1.827E-11,-0.0689480000000003
59.5,327.76296,1.707E-11,-0.0671880000000016
60,327.73081,1.785E-11,-0.0678480000000008
60.5,327.6967,1.79E-11,-0.0677279999999996
61,327.66208,1.853E-11,-0.0664199999999994
61.5,327.62688,2.123E-11,-0.0656400000000019
62,327.59499,1.196E-11,-0.0664119999999997
62.5,327.56119,1.275E-11,-0.0658680000000004
63,327.52738,1.821E-11,-0.0658720000000017
63.5,327.49603,1.975E-11,-0.0676279999999991
64,327.46278,1.975E-11,-0.0682919999999996
64.5,327.42896,2.041E-11,-0.0679599999999994
65,327.39652,2.107E-11,-0.0684999999999974
65.5,327.3627,2.182E-11,-0.0683959999999985
66,327.32696,2.188E-11,-0.0669600000000003
66.5,327.29205,2.28E-11,-0.0664079999999984
67,327.25906,2.405E-11,-0.0673959999999994
67.5,327.22527,2.298E-11,-0.0674080000000004
68,327.19171,2.39E-11,-0.0682800000000015
68.5,327.15956,2.444E-11,-0.0687280000000015
69,327.12603,2.465E-11,-0.0697159999999997
69.5,327.09057,2.525E-11,-0.0690600000000018
70,327.05675,2.593E-11,-0.0686120000000017
